event_limit,id,name,uniq_shows_limit,uniq_shows_period
-1,8798776,Реклама на кухни / все города,-1,day
-1,8799187,корпусная мебель / по городам,-1,day
-1,8857825,Реклама на кухни / по городам,-1,day
-1,8873773,пост на охват Шатура,-1,day
-1,8892120,пост на охват Шатура,-1,day
-1,8892301,Реклама на кухни / оптимизация,-1,day
-1,8975909,Егорьевск / пост на охват,-1,day
-1,9058993,Кухни все города,-1,day
-1,9088521,кухни охват,-1,day
-1,9293538,кухни шатура,-1,day
-1,9293811,Кухни все города,-1,day
-1,9346950,Диваны все города,-1,day
-1,9407497,Копия пост на охват,-1,day
-1,9749471,Кухни все города,-1,day
-1,9891876,Диваны все города / 2,-1,day
-1,10500321,Копия корпусная мебель / по городам,-1,day
-1,10500346,Копия Диваны все города,-1,day
-1,10843965,Кухни все города / 2,-1,day
-1,13825753,Кухни все города / 3,-1,day
