id,name,package_id
107921416,широкая,3127
107921417,Копия широкая,3127
107921418,Копия широкая,3127
107921419,Копия широкая,3127
107921420,Копия широкая,3127
107921421,Копия широкая,3127
107922544,орехово зуево,3127
107922545,шатура / слобода,3127
107922546,Егорьевск,3127
107922547,Воскресенск,3127
108105787,орехово зуево,3127
108105788,Шатура и Слобода,3127
108105789,Егорьевск + Воскресенск,3127
108105790,Новохаритоново + Анциферево,3127
108151176,Группа 2025-02-27,3194
108202819,Группа 2025-02-27,3194
108203351,все города,3127
108203352,Копия все города,3127
108203353,Копия Копия все города,3127
108267102,анциферево,3127
